fecha reporte web,ID de caso,Casos acumulados,Recuperados,Recuperados acumulados,Fallecidos,Fallecidos acumulados
2020-06-16,1869,54934,1773,52206,85,2466
2020-06-17,2115,57049,1974,54180,136,2602
2020-06-18,3171,60220,2965,57145,190,2792
2020-06-19,3060,63280,2894,60039,144,2936
2020-06-20,2357,65637,2216,62255,131,3067
2020-06-21,3019,68656,2847,65102,155,3222
2020-06-22,2532,71188,2438,67540,82,3304
2020-06-23,2389,73577,2242,69782,133,3437
2020-06-24,3541,77118,3360,73142,161,3598
2020-06-25,3486,80604,3292,76434,171,3769
2020-06-26,3843,84447,3655,80089,161,3930
2020-06-27,4151,88598,3945,84034,185,4115
2020-06-28,3178,91776,2997,87031,160,4275
2020-06-29,3274,95050,3130,90161,134,4409
2020-06-30,2803,97853,2677,92838,110,4519
2020-07-01,4163,102016,3924,96762,212,4731
2020-07-02,4101,106117,3877,100639,203,4934
2020-07-03,3394,109511,3175,103814,202,5136
2020-07-04,3891,113402,3683,107497,182,5318
2020-07-05,3722,117124,3541,111038,162,5480
2020-07-06,3170,120294,3023,114061,130,5610
2020-07-07,4213,124507,3997,118058,186,5796
2020-07-08,4144,128651,3906,121964,219,6015
2020-07-09,5337,133988,5020,126984,292,6307
2020-07-10,6801,140789,6539,133523,223,6530
2020-07-11,4586,145375,4352,137875,206,6736
2020-07-12,5084,150459,4849,142724,202,6938
2020-07-13,3832,154291,3655,146379,153,7091
2020-07-14,5622,159913,5366,151745,230,7321
2020-07-15,5271,165184,4974,156719,262,7583
2020-07-16,8037,173221,7660,164379,325,7908
2020-07-17,8928,182149,8622,173001,259,8167
2020-07-18,8560,190709,8222,181223,300,8467
2020-07-19,6578,197287,6296,187519,230,8697
2020-07-20,6726,204013,6427,193946,261,8958
2020-07-21,7031,211044,6714,200660,272,9230
2020-07-22,7391,218435,6977,207637,359,9589
2020-07-23,7945,226380,7597,215234,301,9890
2020-07-24,7168,233548,6771,222005,346,10236
2020-07-25,7254,240802,6941,228946,274,10510
2020-07-26,8181,248983,7806,236752,322,10832
2020-07-27,8126,257109,7744,244496,333,11165
2020-07-28,10284,267393,9827,254323,376,11541
2020-07-29,8670,276063,8231,262554,377,11918
2020-07-30,9964,286027,9562,272116,330,12248
2020-07-31,9489,295516,9129,281245,297,12545
2020-08-01,10673,306189,10297,291542,322,12867
2020-08-02,11470,317659,11013,302555,375,13242
2020-08-03,10198,327857,9817,312372,228,13470
2020-08-04,7129,334986,6830,319202,262,13732
2020-08-05,10734,345720,10283,329485,400,14132
2020-08-06,11996,357716,11546,341031,373,14505
2020-08-07,9484,367200,9161,350192,278,14783
2020-08-08,9675,376875,9340,359532,284,15067
2020-08-09,10610,387485,10236,369768,317,15384
2020-08-10,10143,397628,9731,379499,361,15745
2020-08-11,12830,410458,12381,391880,374,16119
2020-08-12,12064,422522,11631,403511,366,16485
2020-08-13,11287,433809,10794,414305,429,16914
2020-08-14,11306,445115,10900,425205,352,17266
2020-08-15,11578,456693,11208,436413,317,17583
2020-08-16,11644,468337,11282,447695,310,17893
2020-08-17,8327,476664,8053,455748,230,18123
2020-08-18,12463,489127,12116,467864,302,18425
2020-08-19,13054,502181,12570,480434,402,18827
2020-08-20,11541,513722,11085,491519,383,19210
2020-08-21,8419,522141,8064,499583,312,19522
2020-08-22,10965,533106,10566,510149,339,19861
2020-08-23,8044,541150,7705,517854,295,20156
2020-08-24,10546,551696,10231,528085,275,20431
2020-08-25,10433,562129,9958,538043,414,20845
2020-08-26,10143,572272,9801,547844,281,21126
2020-08-27,9753,582025,9395,557239,311,21437
2020-08-28,8499,590524,8153,565392,284,21721
2020-08-29,9394,599918,9082,574474,256,21977
2020-08-30,8024,607942,7776,582250,208,22185
2020-08-31,7235,615177,6978,589228,212,22397
2020-09-01,8901,624078,8625,597853,237,22634
2020-09-02,9268,633346,8959,606812,254,22888
2020-09-03,8237,641583,7931,614743,249,23137
2020-09-04,8488,650071,8185,622928,253,23390
2020-09-05,8394,658465,8135,631063,207,23597
2020-09-06,8066,666531,7839,638902,180,23777
2020-09-07,5327,671858,5149,644051,149,23926
2020-09-08,7664,679522,7427,651478,188,24114
2020-09-09,7337,686859,7083,658561,207,24321
2020-09-10,7812,694671,7536,666097,220,24541
2020-09-11,7425,702096,7192,673289,197,24738
2020-09-12,6876,708972,6665,679954,170,24908
2020-09-13,7355,716327,7118,687072,194,25102
2020-09-14,5574,721901,5422,692494,120,25222
2020-09-15,6699,728600,6487,698981,179,25401
2020-09-16,7787,736387,7566,706547,186,25587
2020-09-17,7568,743955,7319,713866,215,25802
2020-09-18,6527,750482,6315,720181,165,25967
2020-09-19,7927,758409,7676,727857,190,26157
2020-09-20,6678,765087,6475,734332,180,26337
2020-09-21,5359,770446,5234,739566,106,26443
2020-09-22,7103,777549,6879,746445,178,26621
2020-09-23,6730,784279,6499,752944,187,26808
2020-09-24,6556,790835,6298,759242,219,27027
2020-09-25,7495,798330,7241,766483,199,27226
2020-09-26,7721,806051,7494,773977,180,27406
2020-09-27,7018,813069,6818,780795,163,27569
2020-09-28,5143,818212,5001,785796,116,27685
2020-09-29,5838,824050,5704,791500,107,27792
2020-09-30,5637,829687,5434,796934,171,27963
2020-10-01,5660,835347,5469,802403,151,28114
2020-10-02,6190,841537,5991,808394,157,28271
2020-10-03,6616,848153,6420,814814,166,28437
2020-10-04,6905,855058,6734,821548,150,28587
2020-10-05,7104,862162,6925,828473,148,28735
2020-10-06,7650,869812,7453,835926,173,28908
2020-10-07,7875,877687,7648,843574,189,29097
2020-10-08,8496,886183,8190,851764,253,29350
2020-10-09,8120,894303,7909,859673,171,29521
2020-10-10,8447,902750,8228,867901,184,29705
2020-10-11,8569,911319,8372,876273,156,29861
2020-10-12,7766,919085,7588,883861,147,30008
2020-10-13,5015,924100,4907,888768,92,30100
2020-10-14,6061,930161,5815,894583,215,30315
2020-10-15,6823,936984,6612,901195,183,30498
2020-10-16,8372,945356,8093,909288,246,30744
2020-10-17,7017,952373,6815,916103,162,30906
2020-10-18,7201,959574,7019,923122,152,31058
2020-10-19,6311,965885,6124,929246,156,31214
2020-10-20,8256,974141,7980,937226,246,31460
2020-10-21,7562,981703,7335,944561,189,31649
2020-10-22,8570,990273,8319,952880,211,31860
2020-10-23,8671,998944,8460,961340,172,32032
2020-10-24,8770,1007714,8547,969887,188,32220
2020-10-25,8174,1015888,8001,977888,153,32373
2020-10-26,9167,1025055,8944,986832,192,32565
2020-10-27,8166,1033221,7957,994789,178,32743
2020-10-28,8719,1041940,8467,1003256,206,32949
2020-10-29,11187,1053127,10898,1014154,254,33203
2020-10-30,10029,1063156,9768,1023922,213,33416
2020-10-31,11033,1074189,10811,1034733,180,33596
2020-11-01,9137,1083326,8922,1043655,178,33774
2020-11-02,9934,1093260,9698,1053353,188,33962
2020-11-03,6136,1099396,5985,1059338,122,34084
2020-11-04,8693,1108089,8431,1067769,217,34301
2020-11-05,9894,1117983,9628,1077397,228,34529
2020-11-06,9757,1127740,9503,1086900,224,34753
2020-11-07,8715,1136455,8484,1095384,191,34944
2020-11-08,7438,1143893,7262,1102646,146,35090
2020-11-09,5183,1149076,5016,1107662,148,35238
2020-11-10,7612,1156688,7454,1115116,127,35365
2020-11-11,8653,1165341,8447,1123563,173,35538
2020-11-12,8685,1174026,8450,1132013,193,35731
2020-11-13,8689,1182715,8473,1140486,177,35908
2020-11-14,8307,1191022,8069,1148555,196,36104
2020-11-15,7742,1198764,7490,1156045,209,36313
2020-11-16,6471,1205235,6327,1162372,118,36431
2020-11-17,5915,1211150,5745,1168117,139,36570
2020-11-18,6877,1218027,6643,1174760,205,36775
2020-11-19,7489,1225516,7305,1182065,157,36932
2020-11-20,7954,1233470,7736,1189801,192,37124
2020-11-21,7049,1240519,6846,1196647,165,37289
2020-11-22,7924,1248443,7721,1204368,173,37462
2020-11-23,6564,1255007,6391,1210759,156,37618
2020-11-24,7516,1262523,7311,1218070,175,37793
2020-11-25,8498,1271021,8242,1226312,215,38008
2020-11-26,9498,1280519,9206,1235518,252,38260
2020-11-27,10030,1290549,9774,1245292,214,38474
2020-11-28,9106,1299655,8924,1254216,155,38629
2020-11-29,8763,1308418,8537,1262753,189,38818
2020-11-30,8433,1316851,8190,1270943,193,39011
2020-12-01,7983,1324834,7799,1278742,150,39161
2020-12-02,9305,1334139,9085,1287827,201,39362
2020-12-03,9240,1343379,9001,1296828,210,39572
2020-12-04,9286,1352665,9069,1305897,188,39760
2020-12-05,9644,1362309,9366,1315263,242,40002
2020-12-06,8854,1371163,8646,1323909,188,40190
2020-12-07,6000,1377163,5830,1329739,151,40341
2020-12-08,7510,1384673,7342,1337081,145,40486
2020-12-09,7525,1392198,7311,1344392,180,40666
2020-12-10,7779,1399977,7603,1351995,151,40817
2020-12-11,8996,1408973,8752,1360747,216,41033
